number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_epoche_count,params_hidden_neurons_count,params_learning_rate,params_use_sigmoid,system_attrs_nsga2:generation,state
86,0.9553571428571429,133.0,2024-11-25 13:10:10.131345,2024-11-25 13:10:12.049663,0 days 00:00:01.918318,1,133,10,0.008,False,1,COMPLETE
87,0.9777530589543938,65.0,2024-11-25 13:10:12.050406,2024-11-25 13:10:12.745674,0 days 00:00:00.695268,3,65,9,0.009000000000000001,False,1,COMPLETE
88,0.9326599326599326,66.0,2024-11-25 13:10:12.746465,2024-11-25 13:10:13.729364,0 days 00:00:00.982899,1,66,11,0.006,True,1,COMPLETE
89,0.9777530589543938,142.0,2024-11-25 13:10:13.730280,2024-11-25 13:10:15.502249,0 days 00:00:01.771969,2,142,14,0.004,True,1,COMPLETE
90,0.9326599326599326,243.0,2024-11-25 13:10:15.503029,2024-11-25 13:10:18.112502,0 days 00:00:02.609473,3,243,10,0.004,False,1,COMPLETE
91,0.9777530589543938,290.0,2024-11-25 13:10:18.113771,2024-11-25 13:10:21.025103,0 days 00:00:02.911332,5,290,11,0.009000000000000001,False,1,COMPLETE
92,0.9777530589543938,38.0,2024-11-25 13:10:21.026550,2024-11-25 13:10:21.578352,0 days 00:00:00.551802,1,38,10,0.007,False,1,COMPLETE
93,0.9777530589543938,82.0,2024-11-25 13:10:21.579694,2024-11-25 13:10:22.742061,0 days 00:00:01.162367,1,82,8,0.004,False,1,COMPLETE
94,0.9326599326599326,129.0,2024-11-25 13:10:22.742699,2024-11-25 13:10:24.152052,0 days 00:00:01.409353,3,129,14,0.009000000000000001,False,1,COMPLETE
95,0.9777530589543938,162.0,2024-11-25 13:10:24.152609,2024-11-25 13:10:26.481921,0 days 00:00:02.329312,1,162,14,0.004,False,1,COMPLETE
96,0.9332591768631814,232.0,2024-11-25 13:10:26.482622,2024-11-25 13:10:29.338858,0 days 00:00:02.856236,2,232,12,0.001,True,1,COMPLETE
97,0.9777530589543938,94.0,2024-11-25 13:10:29.339774,2024-11-25 13:10:30.417194,0 days 00:00:01.077420,3,94,14,0.005,True,1,COMPLETE
98,0.9777530589543938,122.0,2024-11-25 13:10:30.418208,2024-11-25 13:10:32.236427,0 days 00:00:01.818219,1,122,14,0.007,True,1,COMPLETE
99,0.9553571428571429,136.0,2024-11-25 13:10:32.237129,2024-11-25 13:10:33.586211,0 days 00:00:01.349082,5,136,13,0.004,False,1,COMPLETE
